Timesteps,Temperature
1,87.69
2,87.62
3,86.12
4,88.56
5,85.81
6,88.31
7,88.94
8,86.81
9,86.75
10,87.69
11,88.31
12,87.37
13,87.25
14,87.81
15,89.81
16,88.69
17,86.56
18,88.12
19,86.62
20,85.37
21,87.19
22,87.69
23,86
24,87.37
25,85.56
26,87.37
27,85.94
28,88
29,89.44
30,87.5
31,86.25
32,86.87
33,87.25
34,86.87
35,88.62
36,88
37,87.75
38,87.69
39,86.81
40,86.37
41,87.94
42,85.44
43,79.25
44,83.87
45,83.56
46,82.12
47,80
48,80.87
49,79.25
50,82.87
51,81.37
52,84.56
53,83.62
54,87.12
55,86.31
56,84.44
57,86.87
58,85.19
59,85
60,84.06
61,82.5
62,84.94
63,84
64,87.81
65,85.19
66,87.12
67,86.44
68,86.87
69,87.44
70,89.19
71,87.44
72,88.31
73,89
74,87.31
75,89.31
76,88
77,87.25
78,88.19
79,89.75
80,88.87
81,90
82,89.56
83,88.87
84,88.62
85,90.12
86,87.94
87,90.69
88,89.19
89,89.62
90,88.69
91,91.37
92,90.12
93,89.37
94,90.37
95,92.19
96,90.25
97,88.94
98,89.94
99,89.06
100,88.06
101,91.06
102,90.94
103,89
104,90.56
105,88.31
106,89.12
107,92.81
108,91.31
109,90.56
110,90.94
111,90.12
112,89.87
113,89.56
114,89.75
115,90
116,92.12
117,88.94
118,91.25
119,89.62
120,90.56
121,89.62
122,91
123,89
124,90.87
125,90.69
126,91.25
127,90.56
128,90.87
129,91.62
130,90.06
131,91.94
132,89.81
133,89.94
134,91.06
135,91.19
136,93.87
137,90.31
138,91.31
139,91.44
140,90.69
141,91.25
142,92
143,91.62
144,91.06
145,89.19
146,91.5
147,91.19
148,91.44
149,91.81
150,91.19
151,92.12
152,92
153,90.81
154,91.44
155,91.31
156,92.31
157,92.81
158,89.94
159,90.69
160,90.75
161,92.19
162,92.94
163,90.87
164,91.25
165,90.81
166,91.56
167,93.56
168,92.44
169,91.19
170,92.31
171,93.69
172,94.12
173,93.62
174,92.25
175,92.81
176,92.12
177,91.19
178,88.94
179,89.12
180,92.31
181,90.06
182,90.94
183,90.25
184,89
185,91.37
186,92.12
187,89.94
188,91.31
189,93
190,91.94
191,90.69
192,90.25
193,92.06
194,90.44
195,92.31
196,92.25
197,92.37
198,89.75
199,93.31
200,91.87
201,92.81
202,93.31
203,92.19
204,91.81
205,92.19
206,92.62
207,91.44
208,92.62
209,92.44
210,93.12
211,91.31
212,92.31
213,93.12
214,92.12
215,91.19
216,91.25
217,91.12
218,91.81
219,91.81
220,91.75
221,92.94
222,91.37
223,90.81
224,91.81
225,90.69
226,92.12
227,91.25
228,89.5
229,90.19
230,90.37
231,90
232,91.37
233,90.56
234,90.75
235,92.19
236,92.12
237,91.5
238,89.62
239,90.81
240,90.87
241,90.62
242,91
243,90.31
244,90.44
245,92.5
246,91.25
247,88.81
248,91.44
249,90.44
250,90.37
251,92.12
252,90.12
253,90.62
254,91.87
255,91.87
256,92.19
257,89.94
258,90.5
259,91.81
260,92.69
261,92.19
262,89.94
263,91.37
264,91.19
265,92.19
266,90.25
267,92
268,89.31
269,91.94
270,89.44
271,92.25
272,92.37
273,90.44
274,90.44
275,90.19
276,90.12
277,90.87
278,88.31
279,88.87
280,91.62
281,92.25
282,89.94
283,90.62
284,89.81
285,90.12
286,91.87
287,90
288,89.81
289,90
290,90.87
291,89.31
292,88.25
293,91
294,89.12
295,89.94
296,90.5
297,91.31
298,89.75
299,90.62
300,90.87
301,90.5
302,91.12
303,88.69
304,89.25
305,89.81
306,89.5
307,88.56
308,89.94
309,90.06
310,90
311,88.62
312,89.62
313,91.56
314,88.37
315,89.25
316,90.69
317,90.12
318,89.44
319,90.19
320,91.31
321,87.62
322,88.5
323,88.81
324,89.56
325,89.75
326,89.12
327,87.75
328,88.5
329,88.44
330,89.5
331,91.37
332,90.12
333,87.75
334,88.87
335,89.31
336,90.12
337,90.56
338,87.62
339,88.19
340,88.31
341,88.44
342,89.56
343,87.69
344,88.56
345,90.19
346,88.87
347,88
348,90.31
349,88.31
350,89.19
351,88.75
352,87.94
353,88.62
354,88.06
355,89
356,88.62
357,86.62
358,88.5
359,87.31
360,89.25
361,87.5
362,88.94
363,88.37
364,87.94
365,87.44
366,87.81
367,87.81
368,88.87
369,88.81
370,88.75
371,89.44
372,88.25
373,87.19
374,88.06
375,88.75
376,87.5
377,87.37
378,87.44
379,87.19
380,85.69
381,83.37
382,86.5
383,85.25
384,86.31
385,83.94
386,85.06
387,85.06
388,86.75
389,86.69
390,84.94
391,84.81
392,85.25
393,85.69
394,85.56
395,85.94
396,85.81
397,86.12
398,85.69
399,86.5
400,86.06
401,88.69
402,89.44
403,86.94
404,87.25
405,87
406,88.81
407,88.5
408,88.31
409,86.75
410,87.81
411,87
412,87.06
413,87.06
414,87.94
415,86.87
416,87
417,89.06
418,87.37
419,86.06
420,86.19
421,86.87
422,87.94
423,88.19
424,87.94
425,86.81
426,85.75
427,88.69
428,88.19
429,86.06
430,87.12
431,87.25
432,86.44
433,88.94
434,86.87
435,87.37
436,86.69
437,88.94
438,87.62
439,88.25
440,85.25
441,88.25
442,88.31
443,87.81
444,86.87
445,88.56
446,88.44
447,89.5
448,86.56
449,87.37
450,88.25
451,87.69
452,88.06
453,88.81
454,85.69
455,86.81
456,88.25
457,88.5
458,88.87
459,86.69
460,86.37
461,85.75
462,86.69
463,87.62
464,88.5
465,87.25
466,88.19
467,88
468,87.69
469,89.25
470,85.94
471,86.94
472,87.31
473,87.94
474,88.25
475,86.94
476,87.12
477,87.81
478,87.62
479,86.25
480,86.25
481,86.56
482,87.31
483,85.81
484,86.69
485,88.37
486,87.69
487,86.12
488,86.12
489,86.06
490,86.31
491,86.12
492,87.25
493,86.5
494,86.19
495,87.81
496,87.12
497,87.25
498,86.19
499,84.94
500,87
501,83.5
502,84.06
503,84.44
504,85.31
505,86.5
506,89.12
507,88.94
508,102.75
509,107
510,107.87
511,108.69
512,109.69
513,110.81
514,111.19
515,111.75
516,113.5
517,114.69
518,116.06
519,116.37
520,117.87
521,117.19
522,115.12
523,114.31
524,114.44
525,117.25
526,118.56
527,120.31
528,120.69
529,119.69
530,119.37
531,120.44
532,121.56
533,119.5
534,119
535,117.56
536,119.62
537,118.69
538,119.37
539,120.44
540,123.69
541,125.87
542,124.56
543,123.37
544,126.31
545,124.12
546,125.19
547,124.31
548,122.94
549,124.44
550,123.94
551,123.06
552,124.94
553,123.31
554,123.12
555,124.31
556,125.31
557,126.94
558,124.69
559,124.56
560,125.37
561,125.06
562,125.94
563,124.5
564,125.94
565,126.81
566,125.25
567,126.37
568,127.31
569,127.31
570,128.5
571,126.94
572,126.56
573,126.5
574,127.5
575,126.94
576,128.75
577,128.19
578,127.62
579,128.19
580,128.06
581,126.56
582,127.87
583,129.25
584,129.06
585,129.62
586,132.94
587,133.5
588,132
589,129.56
590,130.37
591,129
592,130.44
593,132.37
594,130.81
595,130.12
596,129.12
597,128.87
598,121.19
599,115.5
600,116.44
601,118.5
602,121.31
603,121.5
604,118.94
605,114.19
606,111.25
607,110.25
608,109.56
609,107.94
610,109.5
611,108.31
612,106.06
613,104.62
614,105.12
615,101.87
616,102.81
617,102
618,102.44
619,103.06
620,102.31
621,99.62
622,96.06
623,93.37
624,89.87
625,89.37
626,88.56
627,88.25
628,87.44
629,86.31
630,86
631,87.62
632,87.69
633,89.12
634,87.31
635,86.56
636,86.37
637,86.25
638,88.06
639,89.5
640,85.87
641,88.94
642,91.56
643,80.31
644,75.69
645,75.81
646,78.25
647,79.31
648,79.87
649,81
650,80
651,81.37
652,81
653,84.56
654,91.19
655,95.94
656,94.69
657,95.19
658,98.37
659,95.75
660,97.5
661,95.12
662,96.94
663,100.87
664,100.56
665,99
666,98.5
667,99.5
668,99.62
669,99
670,99.75
671,101.44
672,102
673,100.81
674,101.62
675,102.75
676,102.75
677,99.75
678,101.44
679,102.5
680,103.69
681,103.12
682,101.81
683,101.56
684,103.25
685,104.81
686,104.37
687,103.69
688,101.75
689,102.81
690,101.81
691,102.25
692,103.06
693,104.12
694,104.44
695,103.06
696,103.31
697,102.44
698,104.44
699,100.87
700,100.56
701,105.06
702,101.81
703,103.75
704,102.62
705,101
706,101.37
707,101.56
708,101.87
709,103.37
710,103.87
711,100.19
712,101.62
713,100.12
714,103.12
715,100.81
716,103.25
717,101.31
718,100.62
719,102.12
720,102.5
721,98.94
722,101.06
723,100.37
724,99.25
725,98.37
726,101.81
727,98.87
728,100.12
729,99.06
730,98.19
731,102.62
732,99.12
733,100
734,102.5
735,99.87
736,126
737,138.75
738,117
739,137.69
740,124.56
741,125.87
742,112.87
743,109.56
744,132.25
745,128.69
746,137.94
747,126.25
748,115.69
749,110.94
750,126.75
751,133.87
752,128.44
753,122.75
754,113.06
755,112.19
756,129.62
757,142.81
758,139.12
759,130
760,123.06
761,119.44
762,125.69
763,128.31
764,122.81
765,116.25
766,115.37
767,128.12
768,131.62
769,123.44
770,121.94
771,121.87
772,120.25
773,137.5
774,143.19
775,151.94
776,150.5
777,142.37
778,138.94
779,136.06
780,136.25
781,116.25
704,102.62
705,101
706,101.37
707,101.56
708,101.87
709,103.37
710,103.87
711,100.19
712,101.62
713,100.12
714,103.12
715,100.81
716,103.25
717,101.31
718,100.62
719,102.12
720,102.5
721,98.94
722,101.06
723,100.37
724,99.25
725,98.37
726,101.81
727,98.87
728,100.12
729,99.06
730,98.19
731,102.62
732,99.12
733,100
734,102.5
735,99.87
736,126
737,138.75
738,117
739,137.69
740,124.56
741,125.87
742,112.87
743,109.56
744,132.25
745,128.69
746,137.94
747,126.25
748,115.69
749,110.94
615,101.87
616,102.81
617,102
618,102.44
619,103.06
620,102.31
621,99.62
622,96.06
623,93.37
624,89.87
625,89.37
626,88.56
627,88.25
628,87.44
629,86.31
630,86
631,87.62
632,87.69
633,89.12
634,87.31
635,86.56
636,86.37
637,86.25
638,88.06
639,89.5
640,85.87
641,88.94
642,91.56
643,80.31
644,75.69
645,75.81
646,78.25
647,79.31
648,79.87
649,81
650,80
651,81.37
652,81
653,84.56
654,91.19
655,95.94
656,94.69
657,95.19
658,98.37
659,95.75
660,97.5
661,95.12
662,96.94
663,100.87
664,100.56
665,99
666,98.5
667,99.5
668,99.62
669,99
670,99.75
671,101.44
672,102
673,100.81
674,101.62
675,102.75
676,102.75
677,99.75
678,101.44
679,102.5
680,103.69
681,103.12
682,101.81
683,101.56
684,103.25
685,104.81
686,104.37
687,103.69
688,101.75
689,102.81
690,101.81
691,102.25
